name,source,region,number_of_games,start_date,end_date
NA LCS Summer Playoffs 2015,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Summer%20Playoffs%202015/,NA,21,2015-08-08,2015-08-23
EU LCS Summer Playoffs 2015,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Summer%20Playoffs%202015/,EUW,23,2015-08-08,2015-08-23
LMS Regional 2015,https://gol.gg/tournament/tournament-stats/LMS%20Regional%202015/,TW,13,2015-08-14,2015-08-16
LCK Summer 2015,https://gol.gg/tournament/tournament-stats/LCK%20Summer%202015/,KR,217,2015-05-20,2015-08-13
LPL Summer 2015,https://gol.gg/tournament/tournament-stats/LPL%20Summer%202015/,CN,264,2015-05-22,2015-08-09
NA LCS Summer 2015,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Summer%202015/,NA,93,2015-05-30,2015-07-26
LMS Summer Playoffs 2015,https://gol.gg/tournament/tournament-stats/LMS%20Summer%20Playoffs%202015/,TW,11,2015-07-24,2015-07-26
EU LCS Summer 2015,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Summer%202015/,EUW,91,2015-05-28,2015-07-24
Mid-Season Invitational 2015,https://gol.gg/tournament/tournament-stats/Mid-Season%20Invitational%202015/,WR,28,2015-05-07,2015-05-10
LCK Spring Playoffs 2015,https://gol.gg/tournament/tournament-stats/LCK%20Spring%20Playoffs%202015/,KR,11,2015-04-17,2015-05-02
LPL Spring Playoffs 2015,https://gol.gg/tournament/tournament-stats/LPL%20Spring%20Playoffs%202015/,CN,32,2015-04-14,2015-04-26
International Wildcard 2015,https://gol.gg/tournament/tournament-stats/International%20Wildcard%202015/,WR,7,2015-04-24,2015-04-25
NA LCS Spring Playoffs 2015,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Spring%20Playoffs%202015/,NA,25,2015-04-04,2015-04-19
EU LCS Spring Playoffs 2015,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Spring%20Playoffs%202015/,EUW,27,2015-04-04,2015-04-19
LMS Spring Playoffs 2015,https://gol.gg/tournament/tournament-stats/LMS%20Spring%20Playoffs%202015/,TW,10,2015-04-10,2015-04-12
LPL Spring 2015,https://gol.gg/tournament/tournament-stats/LPL%20Spring%202015/,CN,264,2015-01-16,2015-04-12
Champions Spring 2015,https://gol.gg/tournament/tournament-stats/Champions%20Spring%202015/,KR,128,2015-01-07,2015-04-11
NA LCS Spring 2015,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Spring%202015/,NA,92,2015-01-25,2015-03-30
EU LCS Spring 2015,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Spring%202015/,EUW,91,2015-01-23,2015-03-28
IEM Katowice 2015,https://gol.gg/tournament/tournament-stats/IEM%20Katowice%202015/,WR,19,2015-03-13,2015-03-15
IEM Cologne 2014,https://gol.gg/tournament/tournament-stats/IEM%20Cologne%202014/,WR,14,2014-12-19,2014-12-21
